name,ingredients,steps,cost,dietary,prep_time
Kidney Beans & Bulgur Fusion Bowl 23,"bulgur, kidney beans, broccoli, onions, ginger, seeds","1. Cook the bulgur until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped broccoli and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",344.25,pescatarian,30
Tuna & Oats Fusion Bowl 24,"oats, tuna, kale, mushrooms, vinegar, cheese","1. Cook the oats until tender. 2. Sauté the tuna with vinegar. 3. Add chopped kale and mushrooms, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",391.85,non-vegetarian,19
Tempeh & Barley Fusion Bowl 25,"barley, tempeh, mushrooms, cauliflower, garlic, honey","1. Cook the barley until tender. 2. Sauté the tempeh with garlic. 3. Add chopped mushrooms and cauliflower, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",185.3,gluten-free,21
Lentils & Bulgur Fusion Bowl 26,"bulgur, lentils, broccoli, cauliflower, mustard, lemon","1. Cook the bulgur until tender. 2. Sauté the lentils with mustard. 3. Add chopped broccoli and cauliflower, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",378.25,gluten-free,19
Seitan & Oats Fusion Bowl 27,"oats, seitan, cauliflower, broccoli, vinegar, yogurt","1. Cook the oats until tender. 2. Sauté the seitan with vinegar. 3. Add chopped cauliflower and broccoli, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",177.65,dairy-free,22
Beef & Quinoa Fusion Bowl 28,"quinoa, beef, cauliflower, tomatoes, soy sauce, lemon","1. Cook the quinoa until tender. 2. Sauté the beef with soy sauce. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",384.2,gluten-free,13
Eggs & Oats Fusion Bowl 29,"oats, eggs, tomatoes, mushrooms, vinegar, seeds","1. Cook the oats until tender. 2. Sauté the eggs with vinegar. 3. Add chopped tomatoes and mushrooms, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",294.1,high-protein,17
Eggs & Quinoa Fusion Bowl 30,"quinoa, eggs, spinach, tomatoes, vinegar, peanut butter","1. Cook the quinoa until tender. 2. Sauté the eggs with vinegar. 3. Add chopped spinach and tomatoes, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",358.7,gluten-free,20
Lentils & Couscous Fusion Bowl 31,"couscous, lentils, mushrooms, broccoli, sriracha, lemon","1. Cook the couscous until tender. 2. Sauté the lentils with sriracha. 3. Add chopped mushrooms and broccoli, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",294.1,gluten-free,19
Kidney Beans & Barley Fusion Bowl 32,"barley, kidney beans, zucchini, broccoli, ginger, avocado","1. Cook the barley until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",214.2,non-vegetarian,14
Eggs & Quinoa Fusion Bowl 33,"quinoa, eggs, tomatoes, cauliflower, garlic, peanut butter","1. Cook the quinoa until tender. 2. Sauté the eggs with garlic. 3. Add chopped tomatoes and cauliflower, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",390.15,low-carb,28
Beef & Couscous Fusion Bowl 34,"couscous, beef, onions, carrots, ginger, peanut butter","1. Cook the couscous until tender. 2. Sauté the beef with ginger. 3. Add chopped onions and carrots, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",284.75,high-protein,26
Tempeh & Millet Fusion Bowl 35,"millet, tempeh, onions, spinach, garlic, nuts","1. Cook the millet until tender. 2. Sauté the tempeh with garlic. 3. Add chopped onions and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",190.4,non-vegetarian,24
Chickpeas & Millet Fusion Bowl 36,"millet, chickpeas, zucchini, spinach, ginger, nuts","1. Cook the millet until tender. 2. Sauté the chickpeas with ginger. 3. Add chopped zucchini and spinach, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",244.8,non-vegetarian,20
Tuna & Quinoa Fusion Bowl 37,"quinoa, tuna, tomatoes, spinach, mustard, lime","1. Cook the quinoa until tender. 2. Sauté the tuna with mustard. 3. Add chopped tomatoes and spinach, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",323.85,dairy-free,21
Chickpeas & Couscous Fusion Bowl 38,"couscous, chickpeas, zucchini, cauliflower, sriracha, honey","1. Cook the couscous until tender. 2. Sauté the chickpeas with sriracha. 3. Add chopped zucchini and cauliflower, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",396.1,non-vegetarian,18
Chickpeas & Rice Fusion Bowl 39,"rice, chickpeas, zucchini, mushrooms, soy sauce, seeds","1. Cook the rice until tender. 2. Sauté the chickpeas with soy sauce. 3. Add chopped zucchini and mushrooms, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",201.45,low-carb,14
Tofu & Couscous Fusion Bowl 40,"couscous, tofu, carrots, tomatoes, ginger, maple syrup","1. Cook the couscous until tender. 2. Sauté the tofu with ginger. 3. Add chopped carrots and tomatoes, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",357.85,non-vegetarian,23
Seitan & Oats Fusion Bowl 41,"oats, seitan, kale, zucchini, sriracha, lime","1. Cook the oats until tender. 2. Sauté the seitan with sriracha. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",174.25,gluten-free,22
Kidney Beans & Rice Fusion Bowl 42,"rice, kidney beans, broccoli, onions, chili powder, maple syrup","1. Cook the rice until tender. 2. Sauté the kidney beans with chili powder. 3. Add chopped broccoli and onions, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",239.7,pescatarian,21
Tofu & Couscous Fusion Bowl 43,"couscous, tofu, cauliflower, broccoli, turmeric, avocado","1. Cook the couscous until tender. 2. Sauté the tofu with turmeric. 3. Add chopped cauliflower and broccoli, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",365.5,high-protein,28
Tofu & Oats Fusion Bowl 44,"oats, tofu, broccoli, kale, turmeric, lime","1. Cook the oats until tender. 2. Sauté the tofu with turmeric. 3. Add chopped broccoli and kale, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",182.75,pescatarian,24
Beef & Bulgur Fusion Bowl 45,"bulgur, beef, carrots, zucchini, chili powder, lime","1. Cook the bulgur until tender. 2. Sauté the beef with chili powder. 3. Add chopped carrots and zucchini, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",187.85,dairy-free,30
Chickpeas & Quinoa Fusion Bowl 46,"quinoa, chickpeas, carrots, mushrooms, turmeric, peanut butter","1. Cook the quinoa until tender. 2. Sauté the chickpeas with turmeric. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",327.25,high-protein,19
Eggs & Barley Fusion Bowl 47,"barley, eggs, cauliflower, mushrooms, ginger, honey","1. Cook the barley until tender. 2. Sauté the eggs with ginger. 3. Add chopped cauliflower and mushrooms, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",257.55,vegan,23
Chicken & Quinoa Fusion Bowl 48,"quinoa, chicken, zucchini, broccoli, chili powder, nuts","1. Cook the quinoa until tender. 2. Sauté the chicken with chili powder. 3. Add chopped zucchini and broccoli, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",306.85,non-vegetarian,25
Kidney Beans & Quinoa Fusion Bowl 49,"quinoa, kidney beans, mushrooms, kale, ginger, nuts","1. Cook the quinoa until tender. 2. Sauté the kidney beans with ginger. 3. Add chopped mushrooms and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",375.7,pescatarian,16
Beef & Rice Fusion Bowl 50,"rice, beef, zucchini, carrots, cumin, yogurt","1. Cook the rice until tender. 2. Sauté the beef with cumin. 3. Add chopped zucchini and carrots, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",413.95,vegan,12
Eggs & Bulgur Fusion Bowl 51,"bulgur, eggs, kale, cauliflower, sriracha, cheese","1. Cook the bulgur until tender. 2. Sauté the eggs with sriracha. 3. Add chopped kale and cauliflower, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",248.2,non-vegetarian,29
Tofu & Millet Fusion Bowl 52,"millet, tofu, cauliflower, spinach, curry powder, avocado","1. Cook the millet until tender. 2. Sauté the tofu with curry powder. 3. Add chopped cauliflower and spinach, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",415.65,dairy-free,16
Eggs & Rice Fusion Bowl 53,"rice, eggs, spinach, cauliflower, sriracha, cheese","1. Cook the rice until tender. 2. Sauté the eggs with sriracha. 3. Add chopped spinach and cauliflower, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",310.25,dairy-free,18
Eggs & Rice Fusion Bowl 54,"rice, eggs, onions, zucchini, chili powder, nuts","1. Cook the rice until tender. 2. Sauté the eggs with chili powder. 3. Add chopped onions and zucchini, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",179.35,pescatarian,19
Seitan & Millet Fusion Bowl 55,"millet, seitan, spinach, tomatoes, curry powder, nuts","1. Cook the millet until tender. 2. Sauté the seitan with curry powder. 3. Add chopped spinach and tomatoes, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",300.9,vegetarian,17
Chickpeas & Oats Fusion Bowl 56,"oats, chickpeas, spinach, onions, ginger, seeds","1. Cook the oats until tender. 2. Sauté the chickpeas with ginger. 3. Add chopped spinach and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",213.35,gluten-free,25
Lentils & Quinoa Fusion Bowl 57,"quinoa, lentils, kale, zucchini, ginger, avocado","1. Cook the quinoa until tender. 2. Sauté the lentils with ginger. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",423.3,vegetarian,18
Seitan & Rice Fusion Bowl 58,"rice, seitan, tomatoes, zucchini, cumin, maple syrup","1. Cook the rice until tender. 2. Sauté the seitan with cumin. 3. Add chopped tomatoes and zucchini, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",236.3,high-protein,13
Seitan & Rice Fusion Bowl 59,"rice, seitan, carrots, mushrooms, curry powder, cheese","1. Cook the rice until tender. 2. Sauté the seitan with curry powder. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",326.4,non-vegetarian,19
Chicken & Millet Fusion Bowl 60,"millet, chicken, broccoli, spinach, mustard, lime","1. Cook the millet until tender. 2. Sauté the chicken with mustard. 3. Add chopped broccoli and spinach, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",296.65,high-protein,30
Eggs & Barley Fusion Bowl 61,"barley, eggs, carrots, onions, sriracha, seeds","1. Cook the barley until tender. 2. Sauté the eggs with sriracha. 3. Add chopped carrots and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",225.25,low-carb,21
Seitan & Millet Fusion Bowl 62,"millet, seitan, kale, tomatoes, curry powder, honey","1. Cook the millet until tender. 2. Sauté the seitan with curry powder. 3. Add chopped kale and tomatoes, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",216.75,gluten-free,12
Chickpeas & Quinoa Fusion Bowl 63,"quinoa, chickpeas, zucchini, kale, vinegar, seeds","1. Cook the quinoa until tender. 2. Sauté the chickpeas with vinegar. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",371.45,gluten-free,19
Tuna & Couscous Fusion Bowl 64,"couscous, tuna, kale, zucchini, curry powder, lemon","1. Cook the couscous until tender. 2. Sauté the tuna with curry powder. 3. Add chopped kale and zucchini, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",365.5,vegetarian,19
Tempeh & Oats Fusion Bowl 65,"oats, tempeh, spinach, cauliflower, vinegar, avocado","1. Cook the oats until tender. 2. Sauté the tempeh with vinegar. 3. Add chopped spinach and cauliflower, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",273.7,vegetarian,16
Tuna & Couscous Fusion Bowl 66,"couscous, tuna, onions, carrots, turmeric, maple syrup","1. Cook the couscous until tender. 2. Sauté the tuna with turmeric. 3. Add chopped onions and carrots, cook until soft. 4. Stir in maple syrup, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",278.8,non-vegetarian,28
Lentils & Quinoa Fusion Bowl 67,"quinoa, lentils, cauliflower, tomatoes, curry powder, avocado","1. Cook the quinoa until tender. 2. Sauté the lentils with curry powder. 3. Add chopped cauliflower and tomatoes, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",238,vegetarian,21
Tuna & Quinoa Fusion Bowl 68,"quinoa, tuna, broccoli, cauliflower, chili powder, nuts","1. Cook the quinoa until tender. 2. Sauté the tuna with chili powder. 3. Add chopped broccoli and cauliflower, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",383.35,high-protein,29
Beef & Bulgur Fusion Bowl 69,"bulgur, beef, cauliflower, kale, mustard, lemon","1. Cook the bulgur until tender. 2. Sauté the beef with mustard. 3. Add chopped cauliflower and kale, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",362.95,vegan,26
Tofu & Millet Fusion Bowl 70,"millet, tofu, cauliflower, carrots, ginger, lime","1. Cook the millet until tender. 2. Sauté the tofu with ginger. 3. Add chopped cauliflower and carrots, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",297.5,vegan,18
Lentils & Couscous Fusion Bowl 71,"couscous, lentils, carrots, kale, vinegar, lemon","1. Cook the couscous until tender. 2. Sauté the lentils with vinegar. 3. Add chopped carrots and kale, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",413.1,gluten-free,17
Lentils & Oats Fusion Bowl 72,"oats, lentils, onions, carrots, sriracha, nuts","1. Cook the oats until tender. 2. Sauté the lentils with sriracha. 3. Add chopped onions and carrots, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",358.7,vegan,17
Lentils & Rice Fusion Bowl 73,"rice, lentils, tomatoes, carrots, soy sauce, honey","1. Cook the rice until tender. 2. Sauté the lentils with soy sauce. 3. Add chopped tomatoes and carrots, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",281.35,dairy-free,20
Eggs & Oats Fusion Bowl 74,"oats, eggs, spinach, broccoli, curry powder, seeds","1. Cook the oats until tender. 2. Sauté the eggs with curry powder. 3. Add chopped spinach and broccoli, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",254.15,low-carb,23
Tofu & Bulgur Fusion Bowl 75,"bulgur, tofu, carrots, kale, chili powder, nuts","1. Cook the bulgur until tender. 2. Sauté the tofu with chili powder. 3. Add chopped carrots and kale, cook until soft. 4. Stir in nuts, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",331.5,low-carb,18
Seitan & Millet Fusion Bowl 76,"millet, seitan, onions, tomatoes, ginger, seeds","1. Cook the millet until tender. 2. Sauté the seitan with ginger. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",375.7,high-protein,24
Seitan & Oats Fusion Bowl 77,"oats, seitan, zucchini, kale, sriracha, yogurt","1. Cook the oats until tender. 2. Sauté the seitan with sriracha. 3. Add chopped zucchini and kale, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",258.4,gluten-free,30
Tempeh & Couscous Fusion Bowl 78,"couscous, tempeh, kale, carrots, garlic, lime","1. Cook the couscous until tender. 2. Sauté the tempeh with garlic. 3. Add chopped kale and carrots, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",296.65,pescatarian,28
Seitan & Barley Fusion Bowl 79,"barley, seitan, tomatoes, mushrooms, mustard, lemon","1. Cook the barley until tender. 2. Sauté the seitan with mustard. 3. Add chopped tomatoes and mushrooms, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",214.2,gluten-free,19
Tuna & Bulgur Fusion Bowl 80,"bulgur, tuna, spinach, zucchini, vinegar, peanut butter","1. Cook the bulgur until tender. 2. Sauté the tuna with vinegar. 3. Add chopped spinach and zucchini, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",378.25,vegetarian,15
Chicken & Millet Fusion Bowl 81,"millet, chicken, carrots, mushrooms, cumin, honey","1. Cook the millet until tender. 2. Sauté the chicken with cumin. 3. Add chopped carrots and mushrooms, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",196.35,gluten-free,26
Beef & Couscous Fusion Bowl 82,"couscous, beef, mushrooms, cauliflower, sriracha, avocado","1. Cook the couscous until tender. 2. Sauté the beef with sriracha. 3. Add chopped mushrooms and cauliflower, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",371.45,low-carb,18
Lentils & Barley Fusion Bowl 83,"barley, lentils, tomatoes, broccoli, cumin, lemon","1. Cook the barley until tender. 2. Sauté the lentils with cumin. 3. Add chopped tomatoes and broccoli, cook until soft. 4. Stir in lemon, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",238,gluten-free,12
Kidney Beans & Quinoa Fusion Bowl 84,"quinoa, kidney beans, onions, tomatoes, sriracha, lime","1. Cook the quinoa until tender. 2. Sauté the kidney beans with sriracha. 3. Add chopped onions and tomatoes, cook until soft. 4. Stir in lime, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",249.9,dairy-free,14
Lentils & Bulgur Fusion Bowl 85,"bulgur, lentils, broccoli, mushrooms, turmeric, peanut butter","1. Cook the bulgur until tender. 2. Sauté the lentils with turmeric. 3. Add chopped broccoli and mushrooms, cook until soft. 4. Stir in peanut butter, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",412.25,vegetarian,22
Chickpeas & Barley Fusion Bowl 86,"barley, chickpeas, zucchini, tomatoes, cumin, yogurt","1. Cook the barley until tender. 2. Sauté the chickpeas with cumin. 3. Add chopped zucchini and tomatoes, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",265.2,gluten-free,25
Tofu & Rice Fusion Bowl 87,"rice, tofu, mushrooms, onions, ginger, seeds","1. Cook the rice until tender. 2. Sauté the tofu with ginger. 3. Add chopped mushrooms and onions, cook until soft. 4. Stir in seeds, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",357,dairy-free,19
Eggs & Rice Fusion Bowl 88,"rice, eggs, tomatoes, broccoli, cumin, cheese","1. Cook the rice until tender. 2. Sauté the eggs with cumin. 3. Add chopped tomatoes and broccoli, cook until soft. 4. Stir in cheese, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",193.8,non-vegetarian,29
Chicken & Barley Fusion Bowl 89,"barley, chicken, tomatoes, kale, garlic, honey","1. Cook the barley until tender. 2. Sauté the chicken with garlic. 3. Add chopped tomatoes and kale, cook until soft. 4. Stir in honey, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",315.35,non-vegetarian,29
Lentils & Millet Fusion Bowl 90,"millet, lentils, onions, carrots, sriracha, yogurt","1. Cook the millet until tender. 2. Sauté the lentils with sriracha. 3. Add chopped onions and carrots, cook until soft. 4. Stir in yogurt, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",297.5,pescatarian,27
Chickpeas & Millet Fusion Bowl 91,"millet, chickpeas, carrots, cauliflower, sriracha, avocado","1. Cook the millet until tender. 2. Sauté the chickpeas with sriracha. 3. Add chopped carrots and cauliflower, cook until soft. 4. Stir in avocado, mix well. 5. Serve hot, optionally garnished with herbs or seeds.",324.7,non-vegetarian,27
